Year,Country,ath_num,medal,gold,silver,bronze
2008,United Kingdom,70,21,31,25,
2008,United Kingdom,70,25,31,25,
2008,United Kingdom,70,31,31,25,
2008,United States,262,81,125,109,
2008,United States,262,125,125,109,
2008,United States,262,109,125,109,
2008,Uzbekistan,6,3,1,2,
2008,Uzbekistan,6,1,1,2,
2008,Uzbekistan,6,2,1,2,
2008,Venezuela,1,1,0,0,
2008,Vietnam,1,1,0,1,
2008,Zimbabwe,1,1,1,3,
2008,Zimbabwe,1,3,1,3,
